Window,Hub,Hub2,Correlation
Pre-COVID,JKM,NBP,0.11678303895985048
Pre-COVID,JKM,TTF,0.12660949029746033
Pre-COVID,NBP,TTF,0.9455090439065101
Pre-COVID,HH,JKM,0.03308798502013925
Pre-COVID,HH,NBP,-0.014785373437826743
Pre-COVID,HH,TTF,0.008918846025372702
COVID shock,JKM,NBP,0.07528638134672434
COVID shock,JKM,TTF,0.11428817873088898
COVID shock,NBP,TTF,0.9214546011672791
COVID shock,HH,JKM,-0.09528264331154268
COVID shock,HH,NBP,0.32929581822123777
COVID shock,HH,TTF,0.333764474687459
Interim recovery,JKM,NBP,0.24801558219515157
Interim recovery,JKM,TTF,0.22537361797366254
Interim recovery,NBP,TTF,0.969492712200438
Interim recovery,HH,JKM,0.09873035235153176
Interim recovery,HH,NBP,0.17588382136475164
Interim recovery,HH,TTF,0.15674173076618977
Energy crisis (pre-war),JKM,NBP,0.6297252485728343
Energy crisis (pre-war),JKM,TTF,0.6290814352996257
Energy crisis (pre-war),NBP,TTF,0.9967629404734677
Energy crisis (pre-war),HH,JKM,-0.0015930769555210958
Energy crisis (pre-war),HH,NBP,0.07638949236342923
Energy crisis (pre-war),HH,TTF,0.07910844509523325
Post-invasion crisis,JKM,NBP,0.378222220227558
Post-invasion crisis,JKM,TTF,0.49187091264824173
Post-invasion crisis,NBP,TTF,0.8446158426270931
Post-invasion crisis,HH,JKM,0.043844952073250225
Post-invasion crisis,HH,NBP,0.13582385356990917
Post-invasion crisis,HH,TTF,0.14497643316287714
Normalization,JKM,NBP,0.36271198449793324
Normalization,JKM,TTF,0.3712603576369629
Normalization,NBP,TTF,0.9841615205801003
Normalization,HH,JKM,0.07528816915592627
Normalization,HH,NBP,0.09958901606581294
Normalization,HH,TTF,0.09873352475478882
