Window,Hub,N,Mean_Return,SD,Annualized_SD,Skew,Kurt
Pre-COVID,Brent_crude,1002,4.6427443567488954e-4,0.022040058171377098,0.3498750768171648,0.40492151329511256,2.5297788873179314
Pre-COVID,HH,1002,-2.3680102955431288e-4,0.028540730874411963,0.4530700567783026,-0.10673678714972422,5.0113800210318455
Pre-COVID,JKM,1002,-5.333588214639359e-4,0.027612413830354194,0.4383334805599059,0.6931435936528632,54.15977178969474
Pre-COVID,NBP,1002,-4.1295870623525295e-4,0.031891126930697115,0.5062559453293151,1.4758792275675696,15.64968737480222
Pre-COVID,TTF,1002,-4.0267574476400173e-4,0.029182849189847367,0.4632633690278334,1.6876000777475542,18.29312131223365
COVID shock,Brent_crude,102,-0.0032098859416314278,0.11105611925628409,1.762961238744355,-1.4440899651461205,11.807824177591955
COVID shock,HH,102,-4.91390675953198e-4,0.041370312413865525,0.6567333498488186,0.4826755804704165,0.13426751317846142
COVID shock,JKM,102,-0.006135431965601551,0.032956892843763505,0.5231744547000151,-1.2653117173032158,6.9526601837974695
COVID shock,NBP,102,-0.004529564399971055,0.056993774533355954,0.9047481221648772,0.6335613923162363,1.8812963638653173
COVID shock,TTF,102,-0.004503504493582161,0.052341524608339775,0.830895944133807,1.069794809456306,4.102246118700901
Interim recovery,Brent_crude,290,0.001957047099562476,0.021684484037652982,0.3442305124342774,-0.48264073557801984,1.7636839719521324
Interim recovery,HH,290,0.0031592293272587743,0.03513359476004493,0.5577285263928053,0.7388540775087622,5.379300931628821
Interim recovery,JKM,290,0.007369144998938761,0.06382660932082572,1.0132160117482925,-5.3180559864333485,77.50449720611648
Interim recovery,NBP,290,0.007473366120438883,0.04466431051716656,0.7090239486515365,0.08172625931187448,2.0997294264919706
Interim recovery,TTF,290,0.007242524127381505,0.042312064167440024,0.6716831954691211,0.30873917081291025,4.604748599029926
Energy crisis (pre-war),Brent_crude,118,0.0025545759188611537,0.021344986470560195,0.3388411556348435,-2.019170721827398,10.771340407709163
Energy crisis (pre-war),HH,118,4.633922609943213e-4,0.07026013066820046,1.115344996985765,0.6200268098951852,8.456769621033834
Energy crisis (pre-war),JKM,118,0.003928545023023518,0.063624652919399,1.0100100532651768,-1.090909510960808,9.554514532724532
Energy crisis (pre-war),NBP,118,0.004216547577186168,0.0852059909954855,1.3526031743211808,-0.5364013997841757,2.243089955324683
Energy crisis (pre-war),TTF,118,0.004818726298670231,0.0843506046835058,1.339024337582859,-0.5428618342047447,2.0588518882751723
Post-invasion crisis,Brent_crude,208,-8.719965525388505e-4,0.031535536482657736,0.5006111219647016,-0.40741646780025026,1.0655411701538284
Post-invasion crisis,HH,208,-1.5643025615033208e-4,0.053381511907440345,0.8474052306943222,-0.44036480335193795,0.40443381964122826
Post-invasion crisis,JKM,208,9.043463530801603e-5,0.07019046276681055,1.1142390533371163,0.6381773540259492,9.1550316582792
Post-invasion crisis,NBP,208,-0.0012003796129709178,0.11854723411375269,1.881879000477253,0.24754364242231644,1.145247650022922
Post-invasion crisis,TTF,208,-7.332413777525022e-4,0.08786591120637653,1.3948280986329338,0.1196622506673205,4.215668537193533
Normalization,Brent_crude,801,5.306786260880656e-4,0.022038434041950293,0.34984929456180297,0.10183666811313045,3.7351006965023084
Normalization,HH,801,-5.484745721649409e-4,0.0543357276679902,0.8625529362914017,-1.8390051903115994,26.47315186785616
Normalization,JKM,801,-4.777620087902014e-4,0.03030118278273671,0.48101636444540075,1.6147773086517003,21.7152583129843
Normalization,NBP,801,-3.5490806793860355e-4,0.04876424945711452,0.774108461605449,0.9314352138501635,6.644179698038812
Normalization,TTF,801,-5.09188510829343e-4,0.04580491370654742,0.7271304629537897,0.7549173704651899,6.158543186403273
