Window,Pair,N,Mean_Spread,SD_Spread,Mean_Abs_Spread
Pre-COVID,JKM-HH,1003,0.8948049930071722,0.22890651054302694,0.8948049930071722
Pre-COVID,JKM-NBP,1003,0.18452440895457312,0.1068916556890413,0.18672137651889723
Pre-COVID,JKM-TTF,1003,0.3300028106621331,0.12479759654536539,0.3302506316179303
Pre-COVID,NBP-HH,1003,0.710280584052599,0.21319538003441124,0.710280584052599
Pre-COVID,NBP-TTF,1003,0.14547840170755996,0.057595472030408004,0.14547840170755996
Pre-COVID,TTF-HH,1003,0.5648021823450391,0.181193402952631,0.5648021823450391
COVID shock,JKM-HH,102,0.3741933611198376,0.22047947586567215,0.3752698442858464
COVID shock,JKM-NBP,102,0.23946559855597624,0.1502359316493114,0.2400048260830098
COVID shock,JKM-TTF,102,0.27658945982559224,0.12952202010153294,0.27658945982559224
COVID shock,NBP-HH,102,0.13472776256386138,0.29487158511936973,0.2756968993774882
COVID shock,NBP-TTF,102,0.03712386126961597,0.061855198948042985,0.06159134925949243
COVID shock,TTF-HH,102,0.0976039012942454,0.2607861212089257,0.2360966553766376
Interim recovery,JKM-HH,290,0.9799125141130094,0.38342795877943764,0.9799125141130094
Interim recovery,JKM-NBP,290,0.17723047534822126,0.16029904085841162,0.18023638747566184
Interim recovery,JKM-TTF,290,0.37328909789153697,0.1931201923982118,0.37328909789153697
Interim recovery,NBP-HH,290,0.802682038764788,0.3780127084601222,0.8073976694977975
Interim recovery,NBP-TTF,290,0.19605862254331574,0.05321879736228601,0.19605862254331574
Interim recovery,TTF-HH,290,0.6066234162214723,0.3726633683750839,0.6275172630560861
Energy crisis (pre-war),JKM-HH,118,1.8421925723431263,0.2773939054969949,1.8421925723431263
Energy crisis (pre-war),JKM-NBP,118,0.041141067334554186,0.1270824138235654,0.11265615591345357
Energy crisis (pre-war),JKM-TTF,118,0.1815286788142224,0.13818709412007996,0.19532488053014363
Energy crisis (pre-war),NBP-HH,118,1.8010515050085723,0.29086924859590757,1.8010515050085723
Energy crisis (pre-war),NBP-TTF,118,0.14038761147966822,0.027386803224134545,0.14038761147966822
Energy crisis (pre-war),TTF-HH,118,1.660663893528904,0.30233668629073507,1.660663893528904
Post-invasion crisis,JKM-HH,208,1.6218114071621341,0.30988239142361634,1.6218114071621341
Post-invasion crisis,JKM-NBP,208,0.07772030503602168,0.20484496078425293,0.17789813564623577
Post-invasion crisis,JKM-TTF,208,-0.14572264324329356,0.14669413408589874,0.18125995210473977
Post-invasion crisis,NBP-HH,208,1.5440911021261123,0.3940024694954117,1.5440911021261123
Post-invasion crisis,NBP-TTF,208,-0.22344294827931524,0.21195326129508277,0.24644382031023873
Post-invasion crisis,TTF-HH,208,1.7675340504054275,0.32361151537689586,1.7675340504054275
Normalization,JKM-HH,801,1.4856756693461732,0.2775375492454166,1.4856756693461732
Normalization,JKM-NBP,801,0.08035164300239779,0.10354097310866009,0.10499286034190558
Normalization,JKM-TTF,801,0.15830217454625678,0.09684567516348203,0.16452033261539145
Normalization,NBP-HH,801,1.4053240263437754,0.2583571615626488,1.4053240263437754
Normalization,NBP-TTF,801,0.07795053154385899,0.04710236799324343,0.07937948799541983
Normalization,TTF-HH,801,1.3273734947999165,0.2818600602851044,1.3273734947999165
