V_obs,Q_beta,Q_delta,log_V_obs,log_Q_beta,log_Q_delta,V_near_start_grid_edge,Q_beta_near_start_grid_edge,Q_delta_near_start_grid_edge,Q_beta_effectively_zero,Q_delta_effectively_zero,Phi1,Phi1_SE,Phi2,Phi2_SE,AR_Denominator,AR_Min_Root_Modulus,AR_Stable,AR_Denom_Caution,Corr_gas_oil_regressors,N_breaks,N_regimes,N_states,Neg_LogLik,AIC_hyper,BIC_hyper,AIC_static,BIC_static,Converged,Dependent,Independent,N
4.358210508876112e-4,9.16199071346516e-5,4.301827611785867e-5,-7.7405759887842915,-9.29786198309873,-10.053885506571962,TRUE,FALSE,FALSE,FALSE,FALSE,0.27300569490098325,0.0188995262420697,0.04157448296295287,0.018654496322195627,0.6854198221360639,2.6186576991653707,TRUE,FALSE,0.7992184928584302,4,5,13,-6948.961699798824,-13891.923399597648,-13874.427357056133,-13875.923399597648,-13811.771243612087,TRUE,JKM,NBP,2520
4.856237656726128e-4,7.331090442297151e-5,5.156431523789476e-5,-7.632137708950657,-9.52080119583896,-9.872680689875326,TRUE,FALSE,FALSE,FALSE,FALSE,0.30176570550828724,0.018855234026275505,0.047014202880740555,0.018595097822205663,0.6512200916109723,2.409397095584834,TRUE,FALSE,0.8200030257945744,4,5,13,-6941.96707816313,-13877.93415632626,-13860.438113784745,-13861.93415632626,-13797.7820003407,TRUE,JKM,TTF,2520
4.368341856649635e-4,5.168732851582754e-4,4.185508819368567e-5,-7.738248695058591,-7.567712809902535,-10.08129718673022,TRUE,FALSE,FALSE,FALSE,FALSE,0.2784125012035467,0.019844171576919954,0.027374490515598964,0.01994099844519435,0.6942130082808543,2.813490569368747,TRUE,FALSE,0.5460195742683231,5,6,15,-6759.009579838096,-13512.019159676192,-13494.523117134677,-13492.019159676192,-13416.202975329621,TRUE,JKM,HH,2520
1.8491385127026856e-4,1.4446145130065036e-4,2.098343415136207e-4,-8.601043109613059,-8.842497859007915,-8.469192188487781,TRUE,FALSE,FALSE,FALSE,FALSE,0.05308463796519568,0.01889277566698315,-0.0432615135050091,0.018714655915842118,0.9901768755398134,4.80783046895969,TRUE,FALSE,0.7992756656448222,4,5,13,-6331.773270435604,-12657.546540871208,-12640.050498329692,-12641.546540871208,-12577.394384885647,TRUE,NBP,JKM,2520
1.7436810710434393e-5,3.6618249004318244e-5,2.0698256618934372e-5,-11.015987182871513,-10.214963835144596,-10.785461082547283,TRUE,FALSE,FALSE,FALSE,FALSE,-0.004241682597509937,0.006982681816272486,0.012244382928520705,0.006885221216788026,0.9919972996689893,8.86560161752123,TRUE,FALSE,0.8200030257945744,5,6,15,-8876.079851709173,-17746.159703418347,-17728.66366087683,-17726.159703418347,-17650.343519071776,TRUE,NBP,TTF,2520
1.672904254338955e-4,0.0010171130297294282,1.731207513453518e-4,-8.7017747474824,-6.890787027747757,-8.661521222289283,TRUE,FALSE,FALSE,FALSE,FALSE,0.0878147127217214,0.019603578724328944,-0.03349072733911232,0.019709635304193483,0.9456760146173909,5.464339952724549,TRUE,FALSE,0.5460195742683231,5,6,15,-6194.965394142824,-12383.930788285648,-12366.434745744133,-12363.930788285648,-12288.114603939077,TRUE,NBP,HH,2520
2.524644922565193e-4,8.903098124049946e-5,1.4696072629341846e-4,-8.28820876226256,-9.326526144980377,-8.825345174953268,TRUE,FALSE,FALSE,FALSE,FALSE,0.12143462466238647,0.018699311080884285,-0.04992411498534969,0.018465537867833615,0.9284894903229631,4.475533503859382,TRUE,FALSE,0.7992756656448222,4,5,13,-6656.698635631896,-13307.397271263791,-13289.901228722276,-13291.397271263791,-13227.24511527823,TRUE,TTF,JKM,2520
8.258883459569316e-6,1.2766330796448398e-5,2.4509411708498692e-5,-11.833284534402747,-11.268699259164043,-10.616453362813544,TRUE,FALSE,FALSE,FALSE,FALSE,0.01763390812107653,0.006517562810168629,-0.01738266748638082,0.006490115412988002,0.9997487593653043,7.584759047687662,TRUE,FALSE,0.7992184928584302,5,6,15,-9292.022608542815,-18578.04521708563,-18560.549174544114,-18558.04521708563,-18482.22903273906,TRUE,TTF,NBP,2520
2.64085158352301e-4,5.450431613124541e-4,1.5485649153491383e-4,-8.243032782180773,-7.514645571368071,-8.773011730984194,TRUE,FALSE,FALSE,FALSE,FALSE,0.16540797597784512,0.01962661648755509,-0.05167305642038828,0.019650462389939283,0.8862650804425433,4.39914143230543,TRUE,FALSE,0.5460195742683231,5,6,15,-6460.695607355326,-12915.391214710651,-12897.895172169136,-12895.391214710651,-12819.57503036408,TRUE,TTF,HH,2520
3.1111067315651303e-4,1.5576313038448653e-4,7.961266763176199e-5,-8.078581314015754,-8.76717409961585,-9.438337336673001,TRUE,FALSE,FALSE,FALSE,FALSE,0.09413864871531581,0.020004818958055778,0.03644664653527793,0.019930636552353213,0.8694147047494062,4.103468116146918,TRUE,FALSE,0.7992756656448222,5,6,15,-6619.1067283324655,-13232.213456664931,-13214.717414123415,-13212.213456664931,-13136.39727231836,TRUE,HH,JKM,2520
1.671835107142486e-4,1.8351661020698105e-4,1.0529480574700639e-4,-8.702417893977255,-8.603205375727098,-9.158746468179608,TRUE,FALSE,FALSE,FALSE,FALSE,0.017738321843265487,0.019795962084178453,0.020297285854881154,0.01983773256409665,0.9619643923018534,6.595718485618519,TRUE,FALSE,0.7992184928584302,5,6,15,-6671.2398327374685,-13336.479665474937,-13318.983622933421,-13316.479665474937,-13240.663481128366,TRUE,HH,NBP,2520
1.754596081969766e-4,1.9643898974241474e-4,1.0771602903823088e-4,-8.653817314766053,-8.53515865963676,-9.136012154437541,TRUE,FALSE,FALSE,FALSE,FALSE,0.025370289974059677,0.019812545128447913,0.025237281188450773,0.019847403471866792,0.9493924288374895,5.812153959220411,TRUE,FALSE,0.8200030257945744,5,6,15,-6667.201573205838,-13328.403146411676,-13310.90710387016,-13308.403146411676,-13232.586962065105,TRUE,HH,TTF,2520
