Pair,Hub_A,Hub_B,Spread_break_num,Spread_break_date,Nearest_Hub_A_break,Days_to_Hub_A_break,Nearest_Hub_B_break,Days_to_Hub_B_break
JKM - NBP,JKM,NBP,1,2019-04-25,2018-08-15,-253,2018-08-17,-251
JKM - NBP,JKM,NBP,2,2021-02-12,2021-09-15,215,2021-09-28,228
JKM - NBP,JKM,NBP,3,2022-12-21,2023-03-31,100,2023-04-17,117
JKM - NBP,JKM,NBP,4,2024-09-19,2023-03-31,-538,2023-04-17,-521
JKM - TTF,JKM,TTF,1,2017-08-04,2018-08-15,376,2018-08-23,384
JKM - TTF,JKM,TTF,2,2019-02-15,2018-08-15,-184,2018-08-23,-176
JKM - TTF,JKM,TTF,3,2021-12-07,2021-09-15,-83,2022-10-14,311
JKM - TTF,JKM,TTF,4,2023-06-29,2023-03-31,-90,2022-10-14,-258
JKM - HH,JKM,HH,1,2017-09-01,2018-08-15,348,2017-07-21,-42
JKM - HH,JKM,HH,2,2019-03-15,2018-08-15,-212,2019-02-01,-42
JKM - HH,JKM,HH,3,2020-12-02,2020-03-06,-271,2020-08-11,-113
JKM - HH,JKM,HH,4,2022-06-21,2021-09-15,-279,2022-12-23,185
JKM - HH,JKM,HH,5,2024-09-19,2023-03-31,-538,2024-09-19,0
NBP - TTF,NBP,TTF,1,2017-07-21,2018-08-17,392,2018-08-23,398
NBP - TTF,NBP,TTF,2,2019-02-01,2018-08-17,-168,2018-08-23,-162
NBP - TTF,NBP,TTF,3,2020-08-11,2020-03-19,-145,2020-08-03,-8
NBP - TTF,NBP,TTF,4,2022-02-28,2021-09-28,-153,2022-10-14,228
NBP - TTF,NBP,TTF,5,2023-09-15,2023-04-17,-151,2024-05-01,229
NBP - HH,NBP,HH,1,2017-08-25,2018-08-17,357,2017-07-21,-35
NBP - HH,NBP,HH,2,2019-03-11,2018-08-17,-206,2019-02-01,-38
NBP - HH,NBP,HH,3,2021-05-04,2021-09-28,147,2020-08-11,-266
NBP - HH,NBP,HH,4,2023-03-08,2023-04-17,40,2022-12-23,-75
NBP - HH,NBP,HH,5,2024-09-19,2023-04-17,-521,2024-09-19,0
TTF - HH,TTF,HH,1,2017-09-01,2018-08-23,356,2017-07-21,-42
TTF - HH,TTF,HH,2,2019-03-15,2018-08-23,-204,2019-02-01,-42
TTF - HH,TTF,HH,3,2021-07-28,2020-08-03,-359,2020-08-11,-351
TTF - HH,TTF,HH,4,2023-03-02,2022-10-14,-139,2022-12-23,-69
TTF - HH,TTF,HH,5,2024-09-19,2024-05-01,-141,2024-09-19,0
