Pair,Hub_A,Hub_B,Break_num,Break_date,Break_index,Specification,CI_lower,CI_upper,CI_width_days
JKM - NBP,JKM,NBP,1,2019-04-25,812,intercept only,2018-10-11,2019-07-30,292
JKM - NBP,JKM,NBP,2,2021-02-12,1260,intercept only,2021-01-27,2021-03-01,33
JKM - NBP,JKM,NBP,3,2022-12-21,1716,intercept only,2022-11-11,2023-04-26,166
JKM - NBP,JKM,NBP,4,2024-09-19,2144,intercept only,2024-09-10,2024-10-07,27
JKM - TTF,JKM,TTF,1,2017-08-04,388,intercept only,2017-07-12,2017-08-17,36
JKM - TTF,JKM,TTF,2,2019-02-15,766,intercept only,2018-12-12,2019-03-21,99
JKM - TTF,JKM,TTF,3,2021-12-07,1463,intercept only,2021-12-01,2021-12-10,9
JKM - TTF,JKM,TTF,4,2023-06-29,1841,intercept only,2023-06-27,2023-07-14,17
JKM - HH,JKM,HH,1,2017-09-01,407,intercept only,2017-08-25,2017-09-06,12
JKM - HH,JKM,HH,2,2019-03-15,785,intercept only,2019-03-12,2019-03-19,7
JKM - HH,JKM,HH,3,2020-12-02,1212,intercept only,2020-11-27,2020-12-03,6
JKM - HH,JKM,HH,4,2022-06-21,1590,intercept only,2022-06-13,2022-09-01,80
JKM - HH,JKM,HH,5,2024-09-19,2144,intercept only,2024-09-11,2024-09-24,13
NBP - TTF,NBP,TTF,1,2017-07-21,378,intercept only,2017-07-17,2017-07-26,9
NBP - TTF,NBP,TTF,2,2019-02-01,756,intercept only,2019-01-28,2019-02-06,9
NBP - TTF,NBP,TTF,3,2020-08-11,1134,intercept only,2020-08-05,2020-08-19,14
NBP - TTF,NBP,TTF,4,2022-02-28,1516,intercept only,2022-02-16,2022-03-01,13
NBP - TTF,NBP,TTF,5,2023-09-15,1894,intercept only,2023-09-14,2023-10-05,21
NBP - HH,NBP,HH,1,2017-08-25,403,intercept only,2017-08-22,2017-08-31,9
NBP - HH,NBP,HH,2,2019-03-11,781,intercept only,2019-02-26,2019-03-12,14
NBP - HH,NBP,HH,3,2021-05-04,1313,intercept only,2021-04-29,2021-05-06,7
NBP - HH,NBP,HH,4,2023-03-08,1766,intercept only,2023-01-11,2024-04-10,455
NBP - HH,NBP,HH,5,2024-09-19,2144,intercept only,2024-08-23,2024-09-30,38
TTF - HH,TTF,HH,1,2017-09-01,407,intercept only,2017-08-24,2017-09-08,15
TTF - HH,TTF,HH,2,2019-03-15,785,intercept only,2019-02-20,2019-03-20,28
TTF - HH,TTF,HH,3,2021-07-28,1372,intercept only,2021-07-27,2021-07-29,2
TTF - HH,TTF,HH,4,2023-03-02,1762,intercept only,2023-02-24,2023-03-29,33
TTF - HH,TTF,HH,5,2024-09-19,2144,intercept only,2024-09-03,2024-09-25,22
