Pair,Hub_A,Hub_B,Specification,Reject_5pct,Test,Statistic,p_value
JKM - NBP,JKM,NBP,intercept only,TRUE,OLS-CUSUM,10.958813570239155,0
JKM - NBP,JKM,NBP,intercept only,TRUE,OLS-MOSUM,5.9325827079544,0.01
JKM - TTF,JKM,TTF,intercept only,TRUE,OLS-CUSUM,15.044891347669212,0
JKM - TTF,JKM,TTF,intercept only,TRUE,OLS-MOSUM,10.467839779468205,0.01
JKM - HH,JKM,HH,intercept only,TRUE,OLS-CUSUM,18.883102011517995,0
JKM - HH,JKM,HH,intercept only,TRUE,OLS-MOSUM,9.555489888776208,0.01
NBP - TTF,NBP,TTF,intercept only,TRUE,OLS-CUSUM,12.133741987926765,0
NBP - TTF,NBP,TTF,intercept only,TRUE,OLS-MOSUM,11.581226896083704,0.01
NBP - HH,NBP,HH,intercept only,TRUE,OLS-CUSUM,20.00785816963515,0
NBP - HH,NBP,HH,intercept only,TRUE,OLS-MOSUM,9.556825001393735,0.01
TTF - HH,TTF,HH,intercept only,TRUE,OLS-CUSUM,20.89328431847616,0
TTF - HH,TTF,HH,intercept only,TRUE,OLS-MOSUM,11.229846423910757,0.01
